uid,whisper_transcripts,gt_transcripts
77222d6b-3fc9-4e37-87ed-3c9eaaea32c1, Open the relentlessly flattened head," fine i'm so fine 
"
f6399c5f-e702-43e4-88eb-25c854a5edd0, but i tell Japan I'm an sandwich," no 
"
a13517c5-e479-4b8d-af02-62e5ee9833dc, Thank you so much.," two more 
"
7adf6391-15ac-48ff-be6d-67360317ec3c, one more.," one more 
"
4eb21593-bc85-4158-8e39-14df823047ff, Thanks for watching!," six more 
"
e299786a-ef93-4ffd-8421-abba8e390a98,Son When," two more 
"
bc325a98-6f5d-40e5-aea1-76b3d8fc4706, Pause.," pass 
"
d08bf3ee-6e65-45b9-923c-6eec9afee6e5, The primarily pseudo viewers also holds really sorry...," pass ha ha ha ha 
"
53c56595-0743-4715-9147-1a51386709e0," Once I call pass, I can't jab it."," once i call pass i can't challenge 
"
038b3166-0d68-4922-906c-0b00c6a4fd46," So if this is supposed to be challenged, then only you can."," so if if this is supposed to be challenged then only you can challenge 
"
50dacdb3-9517-4e5c-94bd-7b209a387b1b, one more.," one more 
"
77c7d376-536d-4e43-bc1d-690cc3e75168, Oh man I'm not sure if I can get it I'm not sure if I can get it I'm not sure if I can get it You play now I don't mind," oh nice pass so you play now i lost my turn 
"
9f6b27ff-a11d-4f07-93d6-6274e2fc915c," Yeah, yeah."," yeah okay 
"
7e445924-47c9-4eae-adea-7957c7b34be4, That's it for me. I have a horn that could...," i have i have a whole deck 
"
074ff76f-f1aa-4f49-8e7e-b044eca12e0f, Right now it is a complete day. Generally when the stakes are really high now people don't challenge. People are like let it go. I don't know how to do it.," right now it is a complete deck generally when the stakes are really high now people don't challenge people are like let to go ha ha ha 
"
d8ceb378-bb88-4677-8c55-a658b311297a, People don't challenge.," ha 
"
986dfbd6-cb41-4885-bdef-a24ac81895c5,"aca that's manual I just went with, whatever. I know I asked a guy to take this"," but card 
"
79f4c9e9-1a03-4e26-ab80-564fdef67c78, Thank you very much.," pakistan 
"
8bb28295-6cb4-4827-b17d-c1a327de59d8, to nine.," two nine 
"
80a73e0a-9331-4eb3-89c3-821d37662fc4, for what.," two more 
"
238fe75e-05e5-416a-8659-20825cd6bdef, I will see you in the next video.," two nine two nine 
"
9e3b36f5-d273-45eb-bb6e-fad5286a728b, Can I get it? So the even-," chad 
"
40048b2e-6e7e-4c5e-9977-c70a77424895, one more," one more 
"
898b49a9-5b65-49f8-bbca-c0f784f80b98, Don't move. Don't move. Don't move. Don't move. That's it.," mm hmm 
"
dfd99358-2cee-42ff-9128-b714c27a42b8, Share what's at the nine of the next.," nine 
"
e0a5c667-9aa8-46de-a374-4a039eb197a1, three-five," three five 
"
fa803e0c-daf5-45db-b68a-58e9e22b2196, the event.," five 
"
b239f73f-0d76-4760-bcee-f7fe06da2a06, three," three more 
"
aff429a5-4571-446f-acf3-f3c7c0cb352d, three more.," three more 
"
ac9ce3f0-c35d-4541-bc85-6f3b7edab881, Boom.," two more 
"
0fcac837-41e7-4f82-b04e-28628442b3ae, Come on.," two one 
"
8c6849c6-9098-4d0d-83e8-4affb22d6b0f, Bye!," pass 
"
d281b6cc-87e2-485f-98bb-24a75356f768, Mm.," two more 
"
287d3971-4a2a-4e07-bd81-61be038787cc," I never, never be back yet."," pass 
"
aa791a20-2773-4c73-8ba4-0704e00a4742, let's takeout a quick note.," pass 
"
adb0b663-0c15-4c08-a089-2bb215f4872d, the challenge.," challenge 
"
931b479f-4fe0-4849-b94d-a1da2979539c, Chanqarksap," pass 
"
5ed56c20-59b7-4974-a8d1-b24f191b733f, I," ha 
"
c335311b-cd1f-47a3-aa7b-51d9b9bad17d, go same," safe 
"
1e2e8459-a0c0-401e-aeec-5ca70eb2eb64, One moment.," one more 
"
1d4f5dce-df7e-4958-8a06-b52781f48356, Start up should be...," start at you 
"
ade9bc02-46e2-460e-aed1-4fcf55c004f4," One, three."," one three 
"
6973520c-8dd5-4f85-9ded-3cf6e3f93674, I'm just climbing up there.," one more 
"
999ecec0-d397-473c-a949-58fd44b7c683, Good.," hm 
"
ec40d323-50fd-43a8-81d4-78daea68ec98,," two 
"
5e2e7fd5-44b0-4abb-bdba-b7289a4e3413, Brookings.," two kings 
"
a1a1881f-ae30-4a5b-9997-190fc776f658, demons.," three nines 
"
e864e75c-4db9-41de-a734-aeef98e93d99, One more.," one more 
"
64d60f1a-8c1c-46e5-8731-1d5a64a07bd2,," one more 
"
abccbb9c-c130-4459-bc6f-ed0598dfa9c7, OK," fuck this 
"
a7940583-5e2e-4682-b6f6-6d7aa8fce64f, one more.," one more 
"
295308b8-8731-48a5-a616-56bf976e4440, Another one.," another one 
"
84c86b39-6f46-44ab-ba8f-9427ec733518, Oh my god.," ooh man 
"
cd81dc33-ac32-45b8-9a09-f907b08929bc, That was stupid... Agh.," ahh 
"
7ce2271a-9bf0-4f5d-ac88-0b85b4314bea, yeah and the second time I was worried that was good," the second time that 
"
991abfff-ad69-4556-8d4a-32d25d427c2a,," yeah 
"
2e5b7030-5db2-40ec-bba7-8cc6f56a4f62, reach our credit," two jacks 
"
7876e32b-8a69-49ad-b99b-2419efd06ea1, one more.," one more 
"
87b7217f-4f55-4370-a845-6e2b428451a1, What?," one more 
"
f915779a-025a-45c8-b3f7-81949da6d0f3, Why not?," one more 
"
3247ffa3-adc8-4978-9be8-4b07a0995e7b, one.," one more 
"
b1f5c447-c175-4623-a0f2-671771f1df9c, One more.," one more 
"
a6d4dbc4-969d-4819-af85-f3b3cb56195e," Shifting, you need it after you."," same thing you 
"
8fcb8cae-6f09-4f53-b7a6-37d05ab8f78e, It is starting now.," let us start now 
"
8379b818-5015-4295-ba3f-9f2b736ebc54, I know what that happened.," i know what i have 
"
d9eb4321-7d18-472b-ace4-558fd0e1a3b2, Fortnite.," four nines 
"
9d37ea3a-3640-49b2-86b9-4375ea6dea78," It's okay, I will not call because I want to get rid of my car."," it's okay i will not because i want to get rid of my card 
"
264a836b-d0e2-4605-b6b6-4efde554e1c3, forward.," four 
"
e2906947-9825-4fa5-80db-61c6d37c0323, code nine thread.," four nines eh 
"
bf4e6e27-4eca-4f05-939b-ecda531b40fa, I will see you in the next video.," last time 
"
e12a754e-6bc9-4354-b166-13143af8256a, Boommo.," two more 
"
40f88e89-e0e8-4923-a472-57319960a00c, One more.," one more 
"
4157e9ed-a139-407b-9713-9fc7996ddbf3, Otto Nichols!," four more 
"
37fdf05e-8d87-44ac-9eda-5156c15e3264," Well, absolutely. Well, it's, H- Well, s well,"," more 
"
499ec1a6-b2fe-4b6f-a146-8b3fcb66d6ae, One more.," one more 
"
b4c5f759-6ad6-44aa-817f-946c0343b435, one more.," four more 
"
5e2b60fa-f6b9-4954-9b64-265c567cb1fa, gasp G Snowden," even a nine 
"
cfe40921-0218-4988-8bd0-d698c56f3b13, I'm ready. What man? A bee!," did you put four nines 
"
16ad4265-df33-482d-9237-7a9a70760c3b, make a no challenge!," i cannot
"
3a22e319-be7d-4e7b-a6a2-7ad2c90766e3," But I think we should play one deck or we should have played one deck before. Well, what if they want..."," but i think we should play one deck all we should have played one deck before but what if they won't 
"
92d4f352-14a5-4e37-bd23-b66c50d302e6, one next thing in the original.," one deck 
"
5a342052-7157-4422-a329-f8ec71e97fca, He he he.," hm 
"
6f1a5650-1ada-41ff-830e-5164f5d3c629, Let me separate for a number of time again. What can I get?," separate 
"
971aedd4-587c-4d33-8689-018c6d7a417a, card. May. May.," cards 
"
891f714d-2a66-40b0-902b-1dfe469719c8, Sorry.," oops 
"
24c82558-7465-40aa-9158-1ac73d8f92b5, best," oops dodge 
"
f7ff9569-d450-44ba-aae1-df7abf3bacb3, I have the habit of checking my phone every time.," cuz i have the habit of like checking my phone every time 
"
55aff591-ecd9-4344-908b-9337e069ed98, Huh.," ha 
"
87e4b4bf-958c-4cc8-9c5d-2ca71b6c37ec, Ah.," ha 
"
89214cd9-4ca5-4d83-b0be-b71ca4c9f815, Go technique and achieve. But let's go. Let's go with it. And maybe next round.," but let's go let's go with this and maybe next 
"
872a8ab8-0fe7-4987-855c-b06049356365," and you can't figure out. So it's made the idea is because you don't get to see everything, you have to kind of like play it on the fly and you can't plan for long enough."," we can figure out so ismael the idea is because you don't get to see everything like you know you have to kinda like play on the fly and you can't plan for long enough 
"
b3bec9b5-87de-4c3f-9d16-6272d85a4bb9, Huh.," huh 
"
081c0b6c-e0a7-43ab-a9a7-2c68a079d4d9, Yeah.," yeah 
"
347a7460-2e67-46a6-aa20-f1427e57f04c," Now since I did this, the next person will need."," you know since i did this the next person will 
"
ee1d41ac-659e-4313-b42e-26548281316f," You can't see all the cards, then you still can organize everything."," you can't see all the cards and you still and know you know can't organize everything and 
"
fdca3222-bf07-45bf-92ee-7f9cacc81e26," It's very clear, right, right?"," very very 
"
f2ae6a5e-da2e-493c-a85d-1d90a8e20e00, It's more than a flamé.," it's more kind of like 
"
8d5f171e-ff36-4c02-8c9a-98ab37b0cd10, like mental time in a process," too tiny 
"
23fe9cff-f834-42f7-99fc-b387788fffd1," So, if there doesn't matter, now go in and find one doctor."," what's up it doesn't matter 
"
4d87d70c-8859-4ee3-8558-65fee16aefb1, uh-huh," huh 
"
a1de6b82-93f4-470b-94b3-8f742a99ba64, How many do you have to say how many?," how many you have to say how many is 
"
143c4c53-d6db-4fb9-afc0-cdcab8415579, stop anything," how many 
"
70011b2c-990f-4d21-a1be-5b94ea18319e, How many cards?," how many cards like 
"
61cb01e5-7a4f-41b1-902d-49899a4e0553, How many cards? You can pay them.," how many sixes you can play 
"
9fd3c5a5-6f74-49b7-8e27-bfb14a518dab, You can play any number of hearts.," you can play any number of cards 
"
b77fcb12-c71e-433b-804f-61ac830d8cb0, I think it's easier for you to get rid of many of them at the same time.," huh it is easier for you to get rid of many of them at the same time now 
"
e5e5ed1b-f534-41ff-ad96-2dea96354a44, kind of," yeah 
"
4e46872f-83a9-4d23-a0b1-41c5478d869b, Good.," whoa 
"
dd4674b1-c869-48c0-b729-0d9126ebb0dd, Okay.," okay 
"
9f40fa67-fe3d-47f6-9cad-fc0fa23b9e2d, Hmm.," hm 
"
9f27c0aa-df5f-4d31-9e8a-74a50ed69606, and also easier to block.," and also easier to bluff 
"
5351051f-493a-4ae3-8873-71cd7be845fa, Thank you very much.," hm 
"
7b5a93b7-2be3-4a31-aad7-efd49b3e5991," And, uh, at the code, I'd say, uh, five, uh, I'd eat five cards and I'd say five, uh, king. Huh? And there are four kings and one, some other card. Hmm. And so it depends on me."," and uh i suppose i say uh five i keep five cards and i say five uh kings and there are four kings and one some other card and she calls 
"
6c2e7feb-6fd2-4dba-ae04-d1dee583d804, Thanks for watching!," huh 
"
1cb765c2-d108-41a7-81aa-41ca65c32cde, and," hm 
"
2faab36e-e1b8-40b8-b399-4a219334cae7, for the entire game.," huh 
"
5c7783ef-05ba-4b35-8a91-360283d536dd," Please, it depends on me. If I call you liar or I challenge you, Toferbo, I'll have to be around."," it depends on me if i call you liar or i challenge you cards you're out 
"
bac6c673-e43e-4637-b34d-db20c34acc28, Anywhere out. All of them should be ready.," then you're out but all of them should be there 
"
b0202414-4808-4e54-86a4-4f0d07a929f4, All of them should be right.," all of them 
"
a428fa3f-5580-4b51-ab45-a84f6221bf0e," Yeah. If I don't challenge you, then you are safe."," yeah if i don't challenge you then you're safe 
"
de9c318f-66eb-4418-bbce-98db13d5fad9, Keep this out of context. DOES butt a man so far?," cards 
"
d47ebf15-d6cb-4081-a663-9e495995c8a7," make that's a good argument and that's the fun. Like you have to keep on playing it. And that's why it's no longer a pass for that filter. If all three of them is fast, then that card kind of like goes all right."," that's the fun like you have to keep on playing it and that's why it's if all three of us pass then that card kind of like go down 
"
d76d44d7-01d0-46d6-81df-0f1a4848ae17, Mmm.," hm 
"
3d157838-f9d0-426a-83ea-d5e12c1accdd," Six, Six."," six six 
"
f6c03406-caa5-4216-91f9-77a2112b4c4a, one more.," one more 
"
05eb8f26-7967-4190-ac74-47c5ae90a987, I really thought that this would've been simple in years Amaastava and EnnieukaAfunahmo," two more six 
"
bf5f32fc-d7ce-48f0-8282-d1072ecc7d92, Six.," six six 
"
71a83088-9f9d-4906-b5ba-01f3c1f02ef0, Janet.," challenge 
"
26262689-b137-47d5-b0d2-0bd22acf5645, Be funny like that kid.," good good 
"
0eba40be-0d92-4f52-9f2f-f7cba6d2275a, now because you tell me. he was important as I am. he gets to call the shorts.," no because you challenged it is your challenge gets to call the shots 
"
ae385d31-3025-41ef-9839-4c239c9d1832," Okay, tomato"," okay 
"
f84b63f8-6866-4e60-954d-73df0cd28a20, Thank you.," hm 
"
ee73e491-e02c-4fd0-a10e-8b167036a23a, Vanjak.," one jack 
"
fb070e4e-005a-4f5a-b849-ccdaa2607c54, such one," says one jack 
"
80e29070-3cd0-4f57-8d39-9b2389ffd140,," love you 
"
893ce48b-4fca-4b4e-b28f-1c112312c9e9, It's projects.," two more jacks 
"
633a3d39-75dd-4b19-8729-6bc1076d6662, Booping.," two kings 
"
af3448ad-80a8-48b6-a88f-0789132a99aa, Bye bye.," one more 
"
3e05a16a-3cca-4cab-b4f8-66efc7cf2d4a, Check it out.," challenge 
"
5dfb9765-1a86-47c4-8d72-a78fe2446ae1, bookings.," two kings 
"
aed21a12-c8fb-4e10-bd44-2475cf9e6f51, Thanks for watching!," one more 
"
f17d2373-99b9-4f8e-859e-d51b523fb2ba, One more.," one more 
"
25393e05-43fe-4f73-b65b-242383b57afe, Bye.," pass 
"
dc846ef8-64c6-4db9-b431-e93cb5ed98c6, and we will see you in a second.," pass me there's a pass 
"
5d41c062-45ff-461d-b94b-5e421061117b," aaAaAaAa, fuNIIII Appa, doS StSwTven"," four king 
"
9c40e7be-ca11-4de9-b9cb-fcc6089e40cd, Till you might face... if you face that... He can take a stage in general and stay very adjustments out of it..," bit shorter 
"
ffd9ec65-0072-42f5-a977-c3f2e2a23b38,killard Tanner," one nine 
"
9e28e223-2165-4331-85f2-dcbf6d628305, one more.," one more 
"
30240226-c0a3-4990-b0f7-5b7312b8fb4e, What the...," one more 
"
4c5cfac4-180f-443d-aae6-29763ad6fc50, Three more.," three more 
"
e8463596-baa4-4cfc-8bc0-3ddf808461d8, I'm going to go to the other side. I'm going to go to the other side.," i'm older 
"
9e2fc34b-efbf-409c-a8e7-93bc753cc318, You look good.," lead with that confidence 
"
e2659309-ed64-4328-bb37-54ed0370b2d4, one," one more 
"
eec404c0-844b-4d05-a6b6-c113e004b9fb, Nine...," nine 
"
372a2d04-ffad-4672-9b41-d267c0f839ec, Yeah.," hm 
"
6bfb88d9-b824-450e-ab71-be767050d3eb,," 'kay 
"
2dc975b1-61f4-484f-9928-b8c0e936d93c," we are bigger than I know of again, we are larger yourself"," me the nine fuck off i know how to do that though 
"
5e516fbb-b2ad-49af-89f8-a67efb20a6de, It hurt," two more 
"
3a45d90d-18eb-43ed-8f6c-9f64b3f92098, or maybe not.," or maybe not 
"
f2ed7271-bf94-4941-a963-bd6509fba57a, one more.," one more 
"
5fa95909-4712-4cae-9d04-2b3ff280d093, Bye.," one more 
"
5394ab27-c565-419b-89e1-4ab359912d2f, Thank you.," one more 
"
b2c814a6-c2a0-48d7-ae44-ca4bed925216, very satisfying," perfect island 
"
6608e0c8-5ad9-427e-9aa0-73f4d5e28811, Chinese Mill," science project 
"
5a0722a7-a91f-4a7a-90d4-17df77ba983a, Thank you.," hm 
"
fd152b9c-60b9-40a9-a550-10bc0c63050b, AAAH," ahh 
"
16ef6137-5aee-4f27-bb74-f5b28950dcc7, I," nice 
"
6e23023e-f9e1-4c87-bea8-177c8e8dd35b, Thank you very much.," game 
"
f3a4e109-69d8-4641-995c-2da5df7a46e5, Okay.," okay 
"
4ad3fa29-c14d-4947-9c9e-1cd08cd21957, If you get this is still working correctly.," okay this is steady working correctly 
"
37a53b79-b362-4f43-ae7c-e9367c8fdc64, Thanks for watching!," two more nights 
"
1f60d601-a0ef-4994-92da-a75354b812b7," Okay, it's heavy."," ok challenge 
"
91e5c709-9530-4d38-8f4c-5f0915fdd531, hahahaha," oh 
"
9182c450-b042-4340-b01f-6f97fbbbd8de, De persecuting pillar for aboard film," finally 
"
f0713810-4d62-40ad-82c0-8a359f8e9615, Three Kings.," three kings 
"
eed9fd1e-e0b2-444f-a440-b3bd32241fe4, channel.," challenge 
"
a53753af-4c88-4298-af15-193a92cd9418, and the linearity.," ha 
"
de4ffd00-5ab0-4393-ba13-e3f7dd043195, May I have a good one?," you made that before 
"
cdd15e51-092b-41a0-a5d9-9a559e7e5dfc, Two four!," two four 
"
55032b45-7eae-414f-b784-c5f9676f7270, Don't kill. I don't run no so.," i thought you had no fours 
"
e72f34b7-2b94-418a-9903-b824166e2017, Boom.," two more 
"
a201c4fd-0bc2-4452-bacc-5591a948aeb4, Boom.," two more 
"
de9f92e2-326a-4a1e-9c1d-d307e200690f, risk me later.," risk 
"
43b62b8a-f8e5-4386-9676-3b8326b0729c, growth," four six 
"
261e63fa-86e5-4dad-9a4f-509d82c11cdb,," hm 
"
46ff987b-b637-4a4f-b56e-8b78ce9e6cae, Thank you.," thank you 
"
99242475-21e1-426e-aad7-338f7a9781a3, But both are a few things in turn of the deal.," what 
"
cc4a578e-fbab-4700-a005-a49df1e5e902,," two two 
"
c77cfcd3-1a2e-4574-adca-6f54daf32483, one more.," one more 
"
f53cc355-7eb9-43dd-b343-454839fcb9dd, Tomo.," two more 
"
b7706e6e-f8e2-4c84-b502-8d210469711e, Thank you.," two more 
"
160075b5-1594-48ff-8b8d-d52162f67a77, font okay," okay 
"
004c3712-bfa3-4d19-a60f-e2666b631d23, See you too!," two 
"
c1925b96-e358-4126-91f4-9514cced97c5, to hear it.," two 
"
e7ae5ac6-1bdc-47f4-b8bc-8af1ed3dd065, Thank you.," ha 
"
2483c05f-457f-4e22-915f-0d41f9e8bba2, Take six.," six six 
"
4ac9fc35-2a1a-4515-91fb-a06e463ff364, You'll never forget to go check.," two jacks 
"
bcb6970e-2d78-4770-a7e4-65b44341475d, No more.," two more 
"
9a9aca40-54e5-4416-a628-f73424eb4be1, it off.," two more 
"
7925d43f-27ae-4cad-a1b0-0aaab7b729d9, CH card to," two more 
"
3260d923-2cf7-4690-8ad3-f3728774f743, Done ya Awhh," challenge oh 
"
9a2fc587-659c-4757-a0e8-407d6b73a008, Ohhhhhh! Good one!," oh good one 
"
bb088c3c-a770-4e1b-8b83-81355b196181," The wind is a challenge, it's a challenge."," thanks who ever wins the challenge 
"
e23ea95b-5332-4f64-bcec-91e1d86ac1b6," So even if the thing is like, even if you lose the challenge, you should challenge because then there's a chance that you will get to decide what to play."," so even if the thing is like even if you lose the challenge you should challenge because then there's a chance that you'll later decide what to play 
"
73341d06-24d7-4572-8515-e61a337a2166," wavelength Working of bang,"," okay 
"
4ab92563-91c5-4035-a38a-d533e4e8c5c3," But even if she lost the challenge, it was worth the chance. Because I got to eat Jati, so you get to choose Kakar Dharman."," well even if she lost the challenge it was worth worth the chance so you get to choose card 
"
3cffd9cd-aefd-4a2e-8f68-ab700258e9c6," I'm just a neutral player, like I just don't know"," but i'm just telling you to pair like i just don't know 
"
ab32c0cb-ee0f-403c-ba02-b61cfaa625a7," This is my last challenge so I am sure you can Ok, now let's go"," challenge okay 
"
7fcf0594-18d0-4360-be87-8a0421e6a1ab," It's like a little pre-word. When I'm making it out of the wrist clean, I'm going to try to get it out of the safe liquor, and I thought I would have challenged that."," it's like risk reward i would have challenged that 
"
51e4a16d-4397-4454-8ee7-38019cc7ec1e, I don't know anybody can chat with anybody can just stand up for something," anybody can challenge it or just the next person 
"
290318cf-a7e2-4524-95ec-6541db892540, And he would be good. That was it.," anybody can 
"
d8e7b7e4-7c85-457c-a645-994825b81e81, it.," eight 
"
b06ee775-fd4e-4d88-a2e5-c1eeeb96d7a8, Oops.," oops oops 
"
89a362e1-d158-4d8b-af31-580100f17336, create.," three eight 
"
b193a35b-f2d1-4af9-b0d5-72d6acffe057, challenge.," challenge 
"
01cfff6e-5faa-41f5-a8e6-681f148f9bb5, Very clear about it.," let's play around 
"
f5448d20-172e-4462-8b88-9d291235289a, Do it.," do it 
"
dfaf9a09-14e0-4898-ab28-a71c35d872a6, It can ace.," make it ace 
"
165206ea-41a8-47bb-890a-6f2199792cb6, option. Bye.," mm two ace 
"
4f4e90ac-c320-4d97-857b-ef99f410a7ad, Thank you.," watch out everybody 
"
090e10f3-1b89-46ca-befd-72f67bc84120, one more.," one more 
"
94545bc8-bfaf-4d9f-875e-cfda2bd5da16, One more.," one more 
"
10b7b429-4f6c-454f-89fc-7db60baa4d0a, stand up.," challenge 
"
caac6000-21a2-4090-a97d-2e019cef95fc, See if you can whip. All right... Shoot one.," nice good one 
"
41118e52-6145-4719-9852-1e5a115741df, Bye!," oh 
"
0b9899ce-8149-43f8-89e2-984192861b36, AD Rosa.," blue jack 
"
1540dcca-fdd6-4f6a-a206-f0211712a01c, worse time trips," you would have jacks 
"
6645b9ba-c36b-459f-8648-970b2b91da72, Thank you very much.," oh my god 
"
d161ab14-8281-42ee-a007-a0c83e687759, No more.," two more 
"
2f7635d5-b5ad-439c-91be-1be0a6a7b57f, Not really.," bad 
"
8cc2fa9a-8cf4-4c81-8257-fe3a7ec16bcf,Inteca," still winning 
"
68e7a5be-3d1d-41c4-a0bc-ac017f9cdceb," I cant think of something withoutus, but what you need,"," many more
"
7b2f08c4-85c3-459b-be69-5403d6601ed8, like that which will help in other legs everyday.," clues like that 
"
c57d0870-2a59-4e6d-9e26-a4b56a2539ee," Actually, I like the idea of asking people to play this game. You can you look at the particular cards."," actually i like the idea of asking people to play this game today you will look at the particular cards 
"
9cfab70a-0c58-428f-9b59-ea3614fd4123, Mm.," hm 
"
44fdf156-3017-4c9d-b9e7-cd67edfad2e4, And what you look at and what you see are different things. So it kind of like...," and what you look at and what you see are different things so it kind of like 
"
94d061ed-623d-4d17-b482-dabcb1f39e4f," It's a good idea for people, for asking people to live. But unfortunately, both are active."," it's a good idea for people uh perhaps but unfortunately 
"
87619eb6-d60a-48ec-ad56-895bd771d07d, I will see you in the next video.," last time 
"
031747dc-b0b5-40e1-955c-be67b7abdf4d," So you will have to, I mean I will explain but just look at it so that that gets captured."," so you'll have to i mean i'll explain but just look at it so that gets captured and 
"
d9a1711b-f2be-4ed1-8957-3598455c497d, or different processing they want to do big.," and whatever processing they want you to take 
"
90f2819e-d6c2-48f5-a397-f3c988899d86, or...," or 
"
46850873-abef-4490-a582-1a4bac3d4186, Okay.," ok 
"
dc8bf09f-165a-48a4-9f68-30eb243f4906,," hm 
"
9d874295-a25a-49f6-ba57-b90101974776, for the Smith-Pupil tracking need right now.," pupil tracking me right now 
"
1c2c975b-d276-41f3-bb2c-0f09fe0ad12a, and," hmm 
"
0dbf010b-af6a-4d6b-81d0-c65e4e271bf8, So this also tracks the pupil records the audio and the," so this also tracks the pupil records audio and 
"
3ca02232-0d75-42b9-a005-7bdcca8b8615, record Saudi champion and," okay 
"
b97e171a-23f7-4c73-94a3-c2fd18d8f340, Bye.," oh 
"
